id,grade,image_file,answer,dim_assess,topic,conception,advice_topic
1,5,5-mq01.jpg,c,概念理解,數與計算,公因數和公倍數,因倍數主題的學習有待加強，特別是對公因數與公倍數的意涵並不熟悉。
2,5,5-mq02.ipg,b,程序執行,數與計算,對小數取概數,
3,5,5-mq02.jpg,d,程序執行,關係,三步驟問題併式,
4,5,5-mq03.ipg,c,概念理解,關係,三步驟問題併式,
5,5,5-mq03.jpg,d,概念理解,空間與型狀,空間中面與面的關係,
6,5,5-mq04.ipg,a,解題思考,關係,數量模式與推理,在解題思考能力明顯不足，需要先能理解題目要問的重點，然後思考解題時要從那些基本概念與能力開始著手，解題時要逐一確定自己的運算過程和解題步驟是否正確
7,5,5-mq04.jpg,c,程序執行,數與計算,十進位的位值系統,
8,5,5-mq05.ipg,b,程序執行,數與計算,十進位的位值系統,
9,5,5-mq05.jpg,b,程序執行,空間與形狀,三角形與四邊形的性質；三角形與四邊,
10,5,5-mq06.ipg,a,解題思考,空間與形狀,空間中面與面的關係；,
11,5,5-mq06.jpg,b,概念理解,關係,以符號表示數學公式,
12,5,5-mq07.ipg,c,概念理解,關係,四則計算規律,
13,5,5-mq07.jpg,b,程序執行,關係,四則計算規律,
14,5,5-mq08.ipg,b,解題思考,數與計算,異分母分數,
15,5,5-mq08.jpg,d,程序執行,空間與形狀,扇形,
16,5,5-mq09.ipg,d,概念理解,數與計算,公因數和公倍數,
17,5,5-mq09.jpg,b,程序執行,空間與形狀,三角形與四邊形的面積,
18,5,5-mq10.ipg,d,概念理解,數與計算,"分數的乘法,小數的乘法",
19,5,5-mq10.jpg,c,解題思考,關係,三步驟問題併式,
20,5,5-mq11.ipg,a,解題思考,數與計算,異分母分數,
21,5,5-mq11.jpg,d,解題思考,量與實測,日常生活的的時間加減問題(含進退位),
22,5,5-mq12.ipg,c,概念理解,數與計算,對小數取概數,
23,5,5-mq12.jpg,a,程序執行,空間與形狀,正方體和長方體的體積,
24,5,5-mq13.ipg,a,程序執行,數與計算,整數相除之分數表示,
25,5,5-mq13.jpg,c,解題思考,數與計算,分數除以整數,
